[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Starting the start of the month billing issue workaround script. [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 439 to 9812 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 921 to 20256 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1029 to 9538 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1350 to 3078 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 791 to 7989 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1319 to 2146 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 581 to 11023 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1203 to 1460 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 970 to 6044 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 444 to 17330 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 806 to 9812 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1351 to 23238 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 510 to 1992 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1204 to 4416 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1046 to 6523 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 446 to 3419 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 495 to 10707 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1455 to 4416 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1417 to 1776 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 980 to 5272 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 454 to 10645 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1323 to 4257 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 511 to 3617 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 419 to 12116 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 862 to 10645 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1276 to 3624 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 981 to 8741 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1247 to 632 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 465 to 9366 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 512 to 9187 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 959 to 1960 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 389 to 21900 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1334 to 1935 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1205 to 1583 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 474 to 7751 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 513 to 4526 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 964 to 3447 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1206 to 1315 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1199 to 21900 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 877 to 7751 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 969 to 3629 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1378 to 2915 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1246 to 1709 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 514 to 3347 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1028 to 8426 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 381 to 14284 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1471 to 7751 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1207 to 622 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1412 to 902 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 579 to 7238 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 466 to 3146 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1248 to 1118 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1449 to 14284 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1031 to 8693 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1322 to 4624 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 515 to 9816 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1249 to 3633 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 489 to 3056 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 998 to 4202 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 422 to 22523 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1208 to 3800 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1420 to 7016 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 516 to 2148 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 658 to 4004 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 990 to 5960 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 416 to 9688 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1209 to 1166 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1336 to 4475 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 517 to 3763 [] []
[2019-03-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 475 to 8311 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 986 to 4010 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1257 to 4787 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 742 to 9688 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 449 to 10994 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1416 to 5019 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 519 to 6307 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 973 to 3566 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1250 to 2678 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 382 to 14460 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 476 to 5325 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1210 to 4674 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1352 to 16594 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1130 to 2629 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 956 to 6041 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 496 to 5262 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 557 to 12678 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 490 to 8646 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 972 to 6472 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1183 to 3891 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1211 to 625 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1051 to 5262 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1232 to 8646 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 394 to 15047 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1338 to 6472 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1264 to 1170 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1052 to 5262 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1408 to 554 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1353 to 6967 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1300 to 1594 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 435 to 15573 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 999 to 8082 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1363 to 6757 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1263 to 1731 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 518 to 11509 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1345 to 16073 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 971 to 3342 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1022 to 4425 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 430 to 6928 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 380 to 9244 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1212 to 1335 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1035 to 6803 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1347 to 27911 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 497 to 8051 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 493 to 9643 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1415 to 1546 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 965 to 3635 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1360 to 406 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1213 to 2917 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1103 to 9244 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 520 to 2597 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 431 to 13561 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 996 to 3635 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1042 to 3406 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 379 to 12544 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1214 to 2898 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1120 to 13561 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 521 to 1605 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 997 to 2499 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1258 to 1967 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1215 to 3016 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 432 to 7472 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 941 to 12544 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 974 to 7211 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 793 to 4580 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1216 to 60 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1436 to 7472 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1296 to 4222 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 984 to 3739 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 522 to 7876 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1235 to 2286 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 392 to 14179 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 440 to 20637 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1001 to 7474 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1244 to 1391 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1068 to 2328 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1362 to 9895 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 523 to 4361 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 433 to 5613 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 989 to 11954 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1217 to 2754 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 524 to 2247 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 504 to 5440 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1195 to 1278 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1201 to 1699 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 995 to 6118 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1048 to 5440 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 525 to 2616 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1030 to 9063 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1434 to 1824 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 383 to 9150 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 502 to 18043 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 993 to 6626 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1041 to 1776 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1218 to 3065 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 526 to 9668 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 861 to 9150 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 626 to 18043 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1033 to 4083 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1275 to 3609 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 578 to 1931 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1251 to 1224 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 961 to 9369 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 420 to 16685 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 481 to 8390 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 527 to 12224 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1469 to 1224 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1419 to 4085 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1003 to 9084 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 412 to 12562 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1219 to 1272 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1447 to 8390 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 962 to 3960 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1220 to 1238 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 482 to 8833 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 648 to 5856 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 528 to 10158 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 963 to 3008 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1240 to 4170 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1116 to 8833 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1018 to 6725 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1450 to 5856 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1252 to 908 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 499 to 9872 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 453 to 2152 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1019 to 3872 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 400 to 11712 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1221 to 3955 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1472 to 9872 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1456 to 2152 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1367 to 11084 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1253 to 2779 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 960 to 4097 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 530 to 13655 [] []
[2019-03-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 415 to 7601 [] []
